image_file,detection_index,hold_id,class_id,class_name,confidence,x1,y1,x2,y2,bbox_width,bbox_height
daegu.jpg,0,1,0,hold,0.938894,190,986,358,1116,168,130
daegu.jpg,1,2,0,hold,0.928902,4,531,197,787,193,256
daegu.jpg,2,3,0,hold,0.922879,624,455,817,573,193,118
daegu.jpg,3,4,0,hold,0.913371,896,491,985,619,89,128
daegu.jpg,4,5,0,hold,0.911245,500,706,664,830,164,124
daegu.jpg,5,6,0,hold,0.909200,620,1181,729,1288,109,107
daegu.jpg,6,7,0,hold,0.899658,266,1142,437,1268,171,126
daegu.jpg,7,8,0,hold,0.898779,461,999,686,1082,225,83
daegu.jpg,8,9,0,hold,0.895333,345,1222,513,1317,168,95
daegu.jpg,9,10,0,hold,0.894319,255,238,429,337,174,99
daegu.jpg,10,11,0,hold,0.892940,103,338,276,427,173,89
daegu.jpg,11,12,0,hold,0.892085,780,984,890,1082,110,98
daegu.jpg,12,13,0,hold,0.887109,1,436,135,538,134,102
daegu.jpg,13,14,0,hold,0.881211,578,379,755,489,177,110
daegu.jpg,14,15,0,hold,0.879413,849,1208,904,1312,55,104
daegu.jpg,15,16,0,hold,0.874309,349,1053,575,1145,226,92
daegu.jpg,16,17,0,hold,0.874071,227,614,314,675,87,61
daegu.jpg,17,18,0,hold,0.873247,307,491,391,553,84,62
daegu.jpg,18,19,0,hold,0.871821,184,833,253,898,69,65
daegu.jpg,19,20,0,hold,0.871082,280,361,388,466,108,105
daegu.jpg,20,21,0,hold,0.869149,727,861,850,951,123,90
daegu.jpg,21,22,0,hold,0.866800,36,1241,94,1279,58,38
daegu.jpg,22,23,0,hold,0.862060,907,1103,993,1216,86,113
daegu.jpg,23,24,0,hold,0.854378,417,696,466,748,49,52
daegu.jpg,24,25,0,hold,0.851101,984,840,1077,1092,93,252
daegu.jpg,25,26,0,hold,0.849637,30,932,126,1003,96,71
daegu.jpg,26,27,0,hold,0.847079,206,749,284,822,78,73
daegu.jpg,27,28,0,hold,0.845222,773,183,860,259,87,76
daegu.jpg,28,29,0,hold,0.837076,655,594,716,635,61,41
daegu.jpg,29,30,0,hold,0.836389,930,1204,1032,1276,102,72
daegu.jpg,30,31,0,hold,0.836155,159,464,224,528,65,64
daegu.jpg,31,32,0,hold,0.832715,661,1091,733,1126,72,35
daegu.jpg,32,33,0,hold,0.820258,416,412,481,509,65,97
daegu.jpg,33,34,0,hold,0.819703,426,817,469,849,43,32
daegu.jpg,34,35,0,hold,0.815488,65,827,123,884,58,57
daegu.jpg,35,36,0,hold,0.812667,915,812,972,895,57,83
daegu.jpg,36,37,0,hold,0.801079,647,287,689,327,42,40
daegu.jpg,37,38,0,hold,0.795467,785,712,864,746,79,34
daegu.jpg,38,39,0,hold,0.791740,320,814,358,845,38,31
daegu.jpg,39,40,0,hold,0.780411,996,649,1037,693,41,44
daegu.jpg,40,41,0,hold,0.777457,458,579,502,659,44,80
daegu.jpg,41,42,0,hold,0.777310,920,1023,946,1054,26,31
daegu.jpg,42,43,0,hold,0.771526,1031,1083,1079,1206,48,123
daegu.jpg,43,44,0,hold,0.752137,918,635,957,685,39,50
daegu.jpg,44,45,0,hold,0.721614,794,345,824,380,30,35
daegu.jpg,45,46,0,hold,0.718585,479,864,510,896,31,32
daegu.jpg,46,47,0,hold,0.687651,426,575,457,655,31,80
daegu.jpg,47,48,0,hold,0.665264,854,472,884,508,30,36
daegu.jpg,48,49,0,hold,0.656605,1063,661,1079,715,16,54
daegu.jpg,49,50,0,hold,0.635998,1032,173,1074,225,42,52
daegu.jpg,50,51,0,hold,0.627821,1043,435,1069,472,26,37
daegu.jpg,51,52,0,hold,0.618719,468,442,505,489,37,47
daegu.jpg,52,53,0,hold,0.612866,1044,293,1075,332,31,39
daegu.jpg,53,54,0,hold,0.594535,0,798,24,893,24,95
daegu.jpg,54,55,0,hold,0.572999,2,612,26,668,24,56
daegu.jpg,55,56,0,hold,0.569941,576,1186,603,1208,27,22
daegu.jpg,56,57,0,hold,0.567203,954,758,990,818,36,60
daegu.jpg,57,58,0,hold,0.534762,1045,640,1073,666,28,26
daegu.jpg,58,59,0,hold,0.528908,647,644,699,686,52,42
daegu.jpg,59,60,0,hold,0.326496,1,896,25,966,24,70
daegu.jpg,60,61,0,hold,0.295772,761,936,824,988,63,52
daegu.jpg,61,62,0,hold,0.290472,970,631,986,646,16,15
daegu.jpg,62,63,0,hold,0.250261,0,989,13,1022,13,33
